filename,name,url,url_basename,status,bytes,sha256,retrieved_utc
BPSD-Dementia-Management.pdf,BPSD-Dementia-Management,https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/Behavioral-and-Psychological-Symptoms.pdf,Behavioral-and-Psychological-Symptoms.pdf,downloaded,653107,e0bf8998d4d27c4f97845b660b8e73a20e94a3ce5c759049fec4bca0a335bd08,2026-08-30T10:39:01Z
Schizophrenia-and-Bipolar-Affective-Disorder.pdf,Schizophrenia-and-Bipolar-Affective-Disorder,https://www.moh.gov.sa/Ministry/MediaCenter/Publications/Documents/SCHIZOPHRENIA-BIPOLAR-Affective-Disorder.pdf,SCHIZOPHRENIA-BIPOLAR-Affective-Disorder.pdf,downloaded,2006724,4fb9e69281e88c43961992b8b7f79023f626610bb2abe16eaeaf97adca0ced11,2026-08-30T10:39:03Z
Rhinosinusitis-Treatment.pdf,Rhinosinusitis-Treatment,https://www.moh.gov.sa/en/Ministry/MediaCenter/Publications/Documents/Rhinosinusitis-treatment-protocol.pdf,Rhinosinusitis-treatment-protocol.pdf,downloaded,224919,3ac413104aeecbbeae1fa0fe777a19d43af5079d9d22ae39b8d417c75900c948,2026-08-30T10:39:04Z
Mpox-Protocol-v1.2.pdf,Mpox-Protocol-v1.2,https://www.moh.gov.sa/en/Ministry/MediaCenter/Publications/Documents/Mpox_Protocol_V1.2_11092024.pdf,Mpox_Protocol_V1.2_11092024.pdf,downloaded,175430,31816e6d0faa9b1fae4e7ebfbd7378fdca90fee990a46c80ec99227cb9538e01,2026-08-30T10:39:05Z
Breast-Milk-Substitution-Policy.pdf,Breast-Milk-Substitution-Policy,https://www.moh.gov.sa/en/Ministry/MediaCenter/Publications/Documents/Policy-breast-milk-subsituites-hospital-2022-en.pdf,Policy-breast-milk-subsituites-hospital-2022-en.pdf,downloaded,615641,81451974e21eacb82e6a043036c9b71a4037965815a8c6a7e891d35ea00bb23d,2026-08-30T10:39:07Z
Adult-ICU-Triage-Admission-Discharge-v1.1.pdf,Adult-ICU-Triage-Admission-Discharge-v1.1,https://www.moh.gov.sa/en/Ministry/MediaCenter/Publications/Documents/Adult-ICU-Triage-Admission-and-Discharge-Criteria.pdf,Adult-ICU-Triage-Admission-and-Discharge-Criteria.pdf,downloaded,184774,99e86ec674d68fb05d2a36a8c6704b055107e5adbeb1cd20b7fcff7a42027c10,2026-08-30T10:39:08Z
Intra-abdominal-Infections-Treatment.pdf,Intra-abdominal-Infections-Treatment,https://www.moh.gov.sa/en/Ministry/MediaCenter/Publications/Documents/Internal-Abdominal-infection-Treatment-Protocol.pdf,Internal-Abdominal-infection-Treatment-Protocol.pdf,downloaded,191240,beba5b961701ef85446514cb7a4df8e360c8e4dfb1e67f9e9c56f06b18ff2e54,2026-08-30T10:39:09Z
High-Flow-Nasal-Oxygen-Adults.pdf,High-Flow-Nasal-Oxygen-Adults,https://www.moh.gov.sa/en/Ministry/MediaCenter/Publications/Documents/MOH-HFNC-Guidelines.pdf,MOH-HFNC-Guidelines.pdf,downloaded,263918,4df0dd6f91b11da9f824caab402d6b095f521552b698c449d427cd631c3a503a,2026-08-30T10:39:10Z
Atopic-Dermatitis-Guidelines.pdf,Atopic-Dermatitis-Guidelines,https://www.moh.gov.sa/en/Ministry/MediaCenter/Publications/Documents/Atopic-Dermatitis-Guidelines.pdf,Atopic-Dermatitis-Guidelines.pdf,downloaded,762847,eab64f6f3e55372d75bb308b3b5226b9837eae06ea651b88b0fb3472477da175,2026-08-30T10:39:11Z
PICU-Triage-Admission-Discharge.pdf,PICU-Triage-Admission-Discharge,https://www.moh.gov.sa/en/Ministry/MediaCenter/Publications/Documents/PICU-Protocol.pdf,PICU-Protocol.pdf,downloaded,114723,9c9e0538496bd83f7169d63e6f01961fc9d74162ee7ffa7dd4866b1e2ed25667,2026-08-30T10:39:13Z
DNR-National-Policy-and-Procedure.pdf,DNR-National-Policy-and-Procedure,https://www.moh.gov.sa/en/Ministry/MediaCenter/Publications/Documents/National-Policy-and-Procedure-for-DNR-Status-EN.pdf,National-Policy-and-Procedure-for-DNR-Status-EN.pdf,downloaded,2390897,38db25c14b4e47480fafe4a4bd89cf2ebf20b5bd27288bdcaad2ea29283b10f3,2026-08-30T10:39:15Z
Adult-Eating-Disorder-Management.pdf,Adult-Eating-Disorder-Management,https://www.moh.gov.sa/en/Ministry/MediaCenter/Publications/Documents/Eating-Disorder-Protocol.pdf,Eating-Disorder-Protocol.pdf,downloaded,298698,c4fceaecfce9a43121ca99ab565fcc620dfeaca2ffff285ad761668299a6084d,2026-08-30T10:39:16Z
OCD-Children-and-Adolescents.pdf,OCD-Children-and-Adolescents,https://www.moh.gov.sa/en/Ministry/MediaCenter/Publications/Documents/MOH-Protocol-for-OCD-in-Children-and-Adolescents.pdf,MOH-Protocol-for-OCD-in-Children-and-Adolescents.pdf,downloaded,254986,176e3a9e89d6b746c899efc58150ae2851d7c0f137aa1ab211207c5bbae24dbc,2026-08-30T10:39:17Z
ADHD-Across-the-Life-Span.pdf,ADHD-Across-the-Life-Span,https://www.moh.gov.sa/en/Ministry/MediaCenter/Publications/Documents/MOH-Protocol-for-ADHD-Across-the-Life-Span.pdf,MOH-Protocol-for-ADHD-Across-the-Life-Span.pdf,downloaded,686043,4f37c60ca661bdce864e470df22e0e918d487743386d5252ee56cf83833c568f,2026-08-30T10:39:18Z
Surgical-Site-Infections-Guidelines.pdf,Surgical-Site-Infections-Guidelines,https://www.moh.gov.sa/en/Ministry/MediaCenter/Publications/Documents/Surgical-Site-Infection-Guideline.pdf,Surgical-Site-Infection-Guideline.pdf,downloaded,214555,4dda5a2eafe0acd747a2784861273b065cf9450d31661e1fb3b5641b245f0326,2026-08-30T10:39:19Z
Premenstrual-Dysphoric-Disorder-PMDD.pdf,Premenstrual-Dysphoric-Disorder-PMDD,https://www.moh.gov.sa/en/Ministry/MediaCenter/Publications/Documents/Guideline-on-the-treatment-of-Premenstrual-Dysphoric-Disorder%28PMDD%29.pdf,Guideline-on-the-treatment-of-Premenstrual-Dysphoric-Disorder(PMDD).pdf,downloaded,763310,723d53bdfd755ebf40f9c47dede017d7937700de4ce72fa85f234b689d22bd54,2026-08-30T10:39:21Z
Major-Depressive-Disorder.pdf,Major-Depressive-Disorder,https://www.moh.gov.sa/en/Ministry/MediaCenter/Publications/Documents/MOH-Protocol-for-the-Management-of-Major-Depressive-Disorder.pdf,MOH-Protocol-for-the-Management-of-Major-Depressive-Disorder.pdf,downloaded,269920,15f03d6ec97e8e3f03a2ae496b05c3c48d59bf9e2dc13da0d3788d3c47f562e6,2026-08-30T10:39:22Z
Preventive-Home-Visit-Dental-Care.pdf,Preventive-Home-Visit-Dental-Care,https://www.moh.gov.sa/en/Ministry/MediaCenter/Publications/Documents/Home-Preventive-Dental-Care-Visits-Protocol.pdf,Home-Preventive-Dental-Care-Visits-Protocol.pdf,downloaded,569996,b8d4baa220bab2f09df968f5d8dbafc71aac3597b57ba4843d99970b5dc19edb,2026-08-30T10:39:23Z
